BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
40.900749,0.818182,95.4,0,95.4,0,0.166667,0,0.083333,0,0,2,1000,201.802084,139.509787,0,12
3202.467416,0.909091,0,0,0,6442.945483,0,0,0,0.25,4,0,7000,4103.032597,1072.340217,0.222222,12
2495.148862,1,773.17,773.17,0,0,1,1,0,0,0,12,7500,622.066742,627.284787,0,12
1666.670542,0.636364,1499,1499,0,205.788017,0.083333,0.083333,0,0.083333,1,1,7500,0,,0,12
817.714335,1,16,16,0,0,0.083333,0.083333,0,0,0,1,1200,678.334763,244.791237,0,12
1809.828751,1,1333.28,0,1333.28,0,0.666667,0,0.583333,0,0,8,1800,1400.05777,2407.246035,0,12
627.260806,1,7091.01,6402.63,688.38,0,1,1,1,0,0,64,13500,6354.314328,198.065894,1,12
1823.652743,1,436.2,0,436.2,0,1,0,1,0,0,12,2300,679.065082,532.03399,0,12
1014.926473,1,861.49,661.49,200,0,0.333333,0.083333,0.25,0,0,5,7000,688.278568,311.963409,0,12
152.225975,0.545455,1281.6,1281.6,0,0,0.166667,0.166667,0,0,0,3,11000,1164.770591,100.302262,0,12
1167.045536,1,294.13,65,229.13,0,0.916667,0.083333,0.833333,0,0,12,1500,686.376349,266.50397,0,12
3063.017462,1,0,0,0,3550.209696,0,0,0,0.166667,3,0,5500,757.537513,891.059927,0,12
1546.216153,0.833333,0,0,0,2196.107878,0,0,0,0.166667,5,0,3000,247.706733,310.58347,0,6
999.392635,1,0,0,0,2368.248319,0,0,0,0.333333,10,0,1500,1724.178215,301.346806,0.1,12
3386.99251,1,171.92,171.92,0,0,0.416667,0.416667,0,0,0,5,4500,907.867126,912.269822,0,12
963.572006,1,2210.97,1741.3,469.67,0,1,1,0.416667,0,0,50,9500,2946.752322,345.15359,0,12
454.580913,1,1229.57,1229.57,0,0,0.416667,0.416667,0,0,0,16,2700,1125.497981,192.979922,0,12
2572.508325,1,64,64,0,248.690762,0.083333,0.083333,0,0.083333,2,1,2800,373.433094,3945.38539,0,12
2596.59993,1,0,0,0,1700.074178,0,0,0,0.5,9,0,3000,1794.421173,936.618592,0,12
937.434519,1,1124.88,1085.63,39.25,0,0.416667,0.333333,0.083333,0,0,9,2500,993.196174,252.572491,0,12
4804.072481,1,0,0,0,1116.128466,0,0,0,0.583333,11,0,5000,1589.654582,1456.920041,0,12
1177.125233,1,8190.9,6949.66,1241.24,0,1,0.916667,0.5,0,0,56,5000,7007.797351,354.703333,0.416667,12
4393.185874,1,0,0,0,10725.50074,0,0,0,0.5,21,0,8000,5943.975673,1631.426308,0.090909,12
1695.84301,1,317.4,64.9,252.5,215.132661,0.25,0.083333,0.25,0.333333,4,5,1800,708.699641,1118.084153,0,12
1830.571451,1,737.67,737.67,0,1781.484344,0.25,0.25,0,0.416667,13,5,2000,2338.783266,838.165733,0,12
167.505508,0.818182,1219,843,376,0,0.75,0.75,0.416667,0,0,21,4500,1989.674433,161.279514,0.666667,12
1075.401912,1,150,150,0,0,0.083333,0.083333,0,0,0,1,1200,224.135558,443.646049,0,12
392.992722,1,508.32,0,508.32,0,1,0,1,0,0,36,1500,168.998137,199.547052,0,12
136.743106,1,1466.05,1344.79,121.26,0,1,1,0.5,0,0,21,6000,1519.011448,191.955443,1,12
1053.59473,1,1450,1450,0,0,0.125,0.125,0,0,0,1,1500,397.090516,227.143184,0,8
1877.424948,1,170.07,118.2,51.87,0,0.166667,0.166667,0.166667,0,0,2,6000,248.81801,264.497515,0,6
8.928211,0.727273,105.78,105.78,0,0,0.416667,0.416667,0,0,0,6,3500,199.171196,88.814442,0.5,12
2139.919711,1,330.89,71.4,259.49,2649.967098,0.5,0.083333,0.416667,0.416667,18,7,6000,703.005516,720.646441,0,12
137.909416,1,897.42,684.12,213.3,0,0.916667,0.916667,0.583333,0,0,27,7000,965.182597,191.931603,0.083333,12
1301.549278,1,0,0,0,72.681585,0,0,0,0.083333,1,0,1500,317.211622,531.398722,0,12
287.140554,0.636364,316.78,0,316.78,0,0.75,0,0.75,0,0,15,4500,1308.806298,248.833196,0,12
26.621291,0.363636,426.83,426.83,0,0,0.416667,0.416667,0,0,0,5,6000,195.490843,88.384521,0,12
6887.915143,1,4340.42,3608.17,732.25,7028.901031,1,1,0.916667,0.833333,29,59,11500,16616.23528,1688.710521,0.083333,12
740.382347,1,1672.35,1571.35,101,310.806852,0.666667,0.5,0.416667,0.25,3,15,5500,1437.155317,287.831911,0,12
3846.74253,1,0,0,0,1932.460679,0,0,0,1.5,18,0,5600,496.245836,538.346874,0,6
5500.316126,1,0,0,0,4930.998256,0,0,0,0.166667,6,0,9000,10036.80464,1915.072549,0.083333,12
364.516232,1,0,0,0,720.251306,0,0,0,0.2,2,0,6500,94.932543,158.639188,0,10
688.993252,1,803.57,0,803.57,0,1,0,1,0,0,53,2000,253.769944,195.362332,0,12
3781.053716,1,764.19,0,764.19,279.13821,0.666667,0,0.666667,0.166667,3,29,7000,1640.238914,2951.847301,0,12
1394.445085,1,0,0,0,279.693602,0,0,0,0.333333,4,0,1600,389.817084,510.935129,0,12
117.205812,0.818182,215,215,0,0,0.083333,0.083333,0,0,0,1,1750,86.403222,182.994424,0,12
4373.439331,0.888889,1959.04,1570.04,389,5124.126997,0.666667,0.444444,0.555556,0.555556,6,12,7000,820.851704,1409.800552,0,9
2931.237524,1,150,150,0,1434.135353,0.083333,0.083333,0,0.083333,3,3,3000,577.725789,1683.482088,0,12
310.666963,1,881.87,509.87,372,0,0.545455,0.363636,0.272727,0,0,12,7500,274.936052,212.361801,0,11
126.13588,1,0,0,0,1170.273287,0,0,0,0.083333,2,0,1200,1131.54314,78.85135,0.083333,12
975.637547,0.818182,6897.56,0,6897.56,0,0.5,0,0.5,0,0,6,6150,8337.882098,6703.880744,0.272727,12
1129.284728,1,1211.42,0,1211.42,0,1,0,1,0,0,42,4000,3390.831252,341.402204,0.333333,12
2306.310095,1,359.96,0,359.96,2843.482435,0.916667,0,0.916667,0.333333,6,11,4000,1482.816136,2056.434829,0,12
883.835888,1,187.47,0,187.47,0,0.75,0,0.666667,0,0,9,1000,263.631752,434.734741,0,12
874.571604,1,385.7,316.7,69,289.822557,0.416667,0.333333,0.166667,0.166667,2,8,2000,357.969443,231.854555,0,12
444.760263,0.636364,3734.7,3734.7,0,0,0.333333,0.333333,0,0,0,7,4000,5808.857795,180.414703,0.5,12
0,0,1200,1200,0,0,0.083333,0.083333,0,0,0,1,2500,14229.88248,,0,12
332.650256,1,770,0,770,0,0.583333,0,0.5,0,0,7,5500,558.752797,216.863764,0,12
101.682988,1,610.34,86,524.34,0,1,0.166667,1,0,0,40,1500,324.924223,152.877812,0.090909,12
4143.074668,1,1074.27,1074.27,0,190.242856,0.75,0.75,0,0.166667,3,21,6000,926.813916,1175.934462,0,12
42.68579,0.909091,708,326,382,0,0.75,0.166667,0.5,0,0,20,3000,755.300687,149.306085,0.625,12
146.261257,1,3139.97,2499.22,640.75,0,1,1,0.916667,0,0,41,5000,2990.926573,176.657439,0.833333,12
3876.778302,1,0,0,0,4269.018258,0,0,0,0.25,11,0,7500,1342.57535,939.667646,0,12
1593.364737,1,2298.49,684.2,1614.29,554.604914,1,0.416667,1,0.25,3,53,4500,1082.087826,347.210824,0,12
933.278656,1,182.55,0,182.55,2304.727023,0.25,0,0.166667,0.416667,7,3,2500,1755.16459,248.144048,0,12
58.167348,0.181818,438.87,438.87,0,0,0.083333,0.083333,0,0,0,1,7500,1748.469291,270.533346,0,12
2514.895334,1,3172.38,1653.16,1519.22,656.112456,1,0.916667,0.916667,0.166667,2,41,6800,2646.255583,692.03719,0,12
1513.759633,1,70,70,0,0,0.181818,0.181818,0,0,0,2,1700,2085.049719,3812.357397,0,11
80.00717,1,1548.37,28.58,1519.79,0,0.916667,0.083333,0.75,0,0,21,9500,1105.365158,149.982961,0.7,12
93.104842,1,160,160,0,0,0.083333,0.083333,0,0,0,1,5200,633.184791,491.717092,0.1,12
458.958269,0.363636,492.72,0,492.72,0,1,0,1,0,0,12,6000,2111.788889,199.91768,0,12
1386.712561,1,0,0,0,699.804757,0,0,0,0.333333,7,0,1500,848.630874,520.077775,0,12
4564.860642,1,1701.13,1322.61,378.52,0,1,0.916667,0.833333,0,0,39,12000,1205.113895,1141.311115,0,12
1709.346088,1,339,339,0,0,0.166667,0.166667,0,0,0,4,2000,612.684346,476.106586,0,12
94.83691,1,1027.84,93,934.84,0,1,0.083333,1,0,0,28,18000,1041.284778,173.91503,0.416667,12
6204.264926,1,0,0,0,2344.901285,0,0,0,0.166667,8,0,7500,1381.411511,2173.987009,0,12
64.677565,1,363.71,363.71,0,0,1,1,0,0,0,12,6000,343.104512,171.000625,0.083333,12
24.297113,0.636364,230.47,0,230.47,0,0.5,0,0.5,0,0,7,4000,0,,0,12
2271.7875,1,0,0,0,2866.563908,0,0,0,0.25,5,0,8000,327.593428,365.820843,0,8
5000.825577,1,3310.39,3072.89,237.5,2019.865472,0.75,0.666667,0.333333,0.083333,1,28,7500,2633.433636,2412.441231,0,12
3723.723928,1,0,0,0,1138.457723,0,0,0,0.333333,6,0,4500,930.285952,978.023398,0,12
348.066767,1,695,695,0,0,0.083333,0.083333,0,0,0,1,4000,470.847821,179.773891,0,12
846.380946,1,8397.44,6812.04,1585.4,0,1,1,1,0,0,118,10000,8067.500812,202.618759,1,12
39.557369,0.363636,45.65,45.65,0,0,0.083333,0.083333,0,0,0,1,3000,831.294005,237.52827,0,12
3492.064185,1,0,0,0,522.551112,0,0,0,0.090909,1,0,12500,1349.873959,790.534808,0,11
719.427666,1,734.4,180,554.4,0,0.583333,0.083333,0.5,0,0,8,1000,285.477654,282.063918,0,12
1184.924492,0.9,306,234,72,1314.443111,0.4,0.2,0.3,0.2,8,7,3000,500.833154,672.890662,0,10
4285.123888,1,4235.03,4235.03,0,0,0.833333,0.833333,0,0,0,29,10000,1660.32858,1243.967283,0,12
989.448428,1,429.97,420.32,9.65,1029.77967,0.875,0.5,0.5,0.25,4,13,1500,195.369397,179.644332,0,8
3126.109251,1,3357.24,2197.01,1160.23,0,1,1,1,0,0,154,7000,1149.614601,707.168238,0,12
3912.344717,1,2080.66,672.48,1408.18,1829.712153,1,0.166667,1,0.166667,5,42,6000,1017.896487,888.469097,0,12
469.380653,1,5117.56,2562.27,2555.29,0,1,1,1,0,0,81,4300,5270.796852,216.41101,0.333333,12
3543.905366,1,1362.92,0,1362.92,0,1,0,1,0,0,15,7500,1026.706561,1039.058094,0,12
1218.208868,0.818182,0,0,0,4467.667258,0,0,0,0.363636,12,0,2500,3341.009938,385.307674,0,11
680.079404,1,636.41,106.01,530.4,2525.736564,1,0.083333,1,0.25,10,19,12000,309.998666,266.056225,0,12
1431.445361,1,0,0,0,1414.866215,0,0,0,0.083333,1,0,1500,235.637068,442.595956,0,12
131.760301,1,789.43,787.48,1.95,0,1,1,0.083333,0,0,14,5000,2023.907685,187.636973,0.916667,12
35.988695,0.636364,294,0,294,0,0.5,0,0.416667,0,0,6,1200,502.277937,188.697505,0.333333,12
128.507898,0.454545,0,0,0,490.12386,0,0,0,0.083333,1,0,1200,199.424458,83.292732,0,12
3985.637748,1,20,20,0,1306.18399,0.083333,0.083333,0,0.333333,5,1,6000,1203.180838,1148.848564,0,12
1726.125465,1,223.95,223.95,0,265.018687,0.083333,0.083333,0,0.083333,1,1,5000,1734.836967,533.845048,0,12
948.944615,1,678.94,201.4,477.54,0,1,0.166667,1,0,0,44,2000,1750.388539,612.055723,0.083333,12
71.983739,1,1000,1000,0,0,0.083333,0.083333,0,0,0,1,1200,93.4312,20.887671,0,12
32.903658,1,391.5,0,391.5,0,0.75,0,0.75,0,0,9,6500,405.250915,162.812944,0.727273,12
3822.559709,1,1000,1000,0,0,0.083333,0.083333,0,0,0,1,5000,1160.567938,1336.764756,0,12
580.175457,1,759.5,85,674.5,995.015703,0.833333,0.166667,0.75,0.333333,5,24,4000,1194.432152,1174.266863,0.083333,12
9.444869,0.363636,127.14,127.14,0,0,0.166667,0.166667,0,0,0,2,4000,0,,0,12
1509.525178,1,0,0,0,1784.023712,0,0,0,0.25,5,0,3500,513.387513,518.481808,0,12
1288.895823,0.727273,0,0,0,3233.145994,0,0,0,0.181818,3,0,3500,4919.065431,409.279112,0.285714,11
2329.869472,1,1497.2,1301.26,195.94,0,0.333333,0.25,0.083333,0,0,5,7000,1453.119488,632.472511,0,12
5090.523925,1,1689.09,0,1689.09,1088.523871,1,0,1,0.166667,3,82,6000,2046.509543,2256.318292,0,12
2996.761878,1,3644.35,3610.6,33.75,0,0.666667,0.583333,0.083333,0,0,23,3500,3879.940821,864.045134,0,12
1103.834373,0.363636,0,0,0,155.414239,0,0,0,0.333333,4,0,7000,4021.956752,410.666163,0,12
72.679836,0.545455,800.55,586.55,214,0,0.5,0.333333,0.333333,0,0,13,7000,1584.89763,147.859998,0.666667,12
4995.229116,1,1580.34,1364.34,216,0,1,1,0.416667,0,0,26,5500,1712.233039,1485.721729,0,12
300.427627,1,443.71,0,443.71,0,0.916667,0,0.916667,0,0,11,1000,372.548129,228.365901,0,12
1521.763256,1,312.15,0,312.15,0,0.75,0,0.75,0,0,19,1500,671.70656,1458.363763,0,12
16.742181,0.545455,320,0,320,0,0.5,0,0.416667,0,0,6,2500,559.713369,65.554557,0.25,12
757.964752,0.875,157.4,157.4,0,0,0.125,0.125,0,0,0,6,1200,1494.480376,2638.59841,0,8
8315.894044,1,8391.55,0,8391.55,0,1,0,1,0,0,199,8500,6322.388249,7912.050279,0,12
476.728349,1,462.75,462.75,0,0,1,1,0,0,0,12,5500,185.002877,170.274498,0,12
776.919827,1,11522.9,11146.28,376.62,0,1,1,0.416667,0,0,68,4500,11082.51429,237.006434,0.916667,12
245.336939,0.363636,909,909,0,0,0.083333,0.083333,0,0,0,1,3000,340.201751,55.410769,0,12
18.745682,0.363636,872.7,872.7,0,0,0.333333,0.333333,0,0,0,11,2500,2411.060444,44.981723,1,12
7.106669,0.333333,27.98,27.98,0,0,0.111111,0.111111,0,0,0,1,2500,57.785065,154.349034,0,9
1632.421395,1,993.96,245.59,748.37,0,0.727273,0.181818,0.636364,0,0,22,6000,2752.623744,489.842903,0.090909,11
2439.976275,1,499.59,0,499.59,0,0.916667,0,0.916667,0,0,11,2700,555.286351,617.276328,0,12
1315.478789,1,88.08,0,88.08,154.311694,0.5,0,0.416667,0.083333,2,6,1500,453.199092,321.319929,0,12
1454.09973,1,0,0,0,49.602856,0,0,0,0.083333,1,0,1500,274.985583,493.392656,0,12
1695.40481,1,1641.48,1377.06,264.42,1105.875503,0.916667,0.75,0.416667,0.583333,9,26,7000,3423.435143,629.237655,0,12
19.991586,0.875,144,0,144,0,0.75,0,0.625,0,0,6,1500,173.881319,96.495473,0.8,8
3219.604215,1,4126.75,4126.75,0,0,1,1,0,0,0,31,10500,6061.100911,1113.256834,0,12
337.178513,1,3809.71,3809.71,0,0,1,1,0,0,0,16,16500,2837.599645,238.075524,0.916667,12
217.10156,0.818182,2953.03,2953.03,0,0,0.166667,0.166667,0,0,0,3,5000,3123.296573,118.209566,0.125,12
2124.826298,1,967.61,397.61,570,581.6512,0.833333,0.166667,0.75,0.25,3,12,5000,1778.725826,477.542826,0,12
313.13311,1,49.09,49.09,0,1306.110387,0.166667,0.166667,0,0.416667,13,2,6500,1405.747523,189.159601,0.166667,12
154.271153,1,1498.28,667,831.28,0,0.833333,0.416667,0.583333,0,0,24,12000,1343.450205,189.406063,0.583333,12
7934.946009,1,1792.15,1792.15,0,4169.060991,0.333333,0.333333,0,0.333333,6,16,11500,2373.896899,2184.394699,0,12
4183.77248,1,511.12,278.6,232.52,1209.426365,0.916667,0.25,0.833333,0.416667,14,24,4500,1378.838332,2569.377585,0,12
4187.550741,1,0,0,0,433.71918,0,0,0,0.083333,1,0,4500,1216.465192,935.585513,0,12
58.565355,0.833333,386,0,386,0,0.666667,0,0.5,0,0,4,1000,425.996964,65.250637,1,6
8363.401152,1,1076.01,1076.01,0,3134.26615,0.25,0.25,0,0.666667,29,7,9500,1828.936956,2608.291402,0,12
45.171225,0.636364,160,160,0,0,0.083333,0.083333,0,0,0,1,500,197.019336,94.411065,0,12
440.676765,0.666667,0,0,0,1125.542162,0,0,0,0.666667,6,0,1200,171.743821,113.220269,0,6
7867.660015,1,507,507,0,8980.648498,0.166667,0.166667,0,0.916667,43,4,8500,6802.892319,8644.138069,0,12
731.222335,1,0,0,0,2828.975383,0,0,0,0.416667,8,0,1500,3208.182454,236.90696,0.090909,12
39.523885,0.727273,592.88,451.18,141.7,0,0.583333,0.583333,0.083333,0,0,9,12000,1111.148943,120.742325,0.833333,12
1996.785925,1,212.64,212.64,0,272.115509,0.083333,0.083333,0,0.166667,6,1,2000,1121.381513,2669.122014,0,12
3114.988266,1,453.12,453.12,0,2115.036647,0.333333,0.333333,0,0.5,12,7,5000,1160.859524,1067.666256,0,12
2341.401664,1,0,0,0,1818.306309,0,0,0,0.416667,5,0,3000,668.918811,553.243869,0,12
2819.630553,1,0,0,0,230.543537,0,0,0,0.25,7,0,3000,810.389383,1147.376672,0,12
147.085066,0.818182,1381.14,1027.14,354,0,0.666667,0.333333,0.25,0,0,11,2500,1457.406626,128.626652,1,12
152.459665,1,1248.09,829.45,418.64,0,1,1,0.25,0,0,21,5000,1316.455236,210.906103,0.166667,12
1998.15597,1,348,348,0,1940.357907,0.083333,0.083333,0,0.083333,1,1,9000,2893.195013,419.016946,0,12
290.246277,1,2617.61,1342.69,1274.92,0,1,1,0.75,0,0,52,2500,2948.963493,164.864181,0.916667,12
2074.364799,1,1500,1500,0,0,0.416667,0.416667,0,0,0,15,2200,2200.280484,1436.215703,0,12
1773.323689,1,1423.71,1423.71,0,0,1,1,0,0,0,17,5000,1410.310559,423.078833,0,12
12.540151,0.363636,201,104.5,96.5,0,0.25,0.083333,0.166667,0,0,4,2500,479.948299,142.198683,1,12
5796.622219,0.875,423.38,223.38,200,6739.693779,0.625,0.25,0.375,0.25,18,9,8000,813.94163,1523.155003,0,8
3261.241461,1,0,0,0,154.67204,0,0,0,0.083333,1,0,6500,800.677168,1588.441785,0,12
4228.71103,1,923.99,0,923.99,3932.272703,1,0,1,0.416667,7,30,8500,8805.280436,1134.632482,0.25,12
8033.907466,1,159,159,0,3983.763805,0.083333,0.083333,0,0.75,24,1,9000,1620.868564,2568.327034,0,12
11.902047,0.818182,0,0,0,482.992567,0,0,0,0.083333,1,0,3000,727.929858,5.03821,0.142857,12
7789.190958,1,1307.39,84.45,1222.94,1836.893684,1,0.166667,1,0.25,3,66,8500,2072.817061,2983.977594,0,12
